create table compositetest (id int, name char(10), value float, category char(5));
insert into compositetest values (1, 'ICyOi', 307.18, 'cat1');
insert into compositetest values (2, 'jcAFx', 677.91, 'cat2');
insert into compositetest values (3, 'SPbEa', 371.7, 'cat3');
insert into compositetest values (4, 'tGpuW', 355.75, 'cat4');
insert into compositetest values (5, 'wBNQc', 701.18, 'cat5');
insert into compositetest values (6, 'mQCcc', 659.98, 'cat6');
insert into compositetest values (7, 'XwSAe', 600.68, 'cat7');
insert into compositetest values (8, 'sBRrz', 663.89, 'cat8');
insert into compositetest values (9, 'YBQTu', 162.69, 'cat9');
insert into compositetest values (10, 'xlInG', 92.74, 'cat0');
insert into compositetest values (11, 'ZitEf', 671.79, 'cat1');
insert into compositetest values (12, 'jaCcr', 966.3, 'cat2');
insert into compositetest values (13, 'iJkOj', 53.38, 'cat3');
insert into compositetest values (14, 'WDsbB', 903.47, 'cat4');
insert into compositetest values (15, 'nTRVB', 317.13, 'cat5');
insert into compositetest values (16, 'TOogl', 512.81, 'cat6');
insert into compositetest values (17, 'erpgy', 324.9, 'cat7');
insert into compositetest values (18, 'Gyaji', 828.81, 'cat8');
insert into compositetest values (19, 'KRoAa', 678.01, 'cat9');
insert into compositetest values (20, 'dxfLk', 414.48, 'cat0');
insert into compositetest values (21, 'jnFan', 322.58, 'cat1');
insert into compositetest values (22, 'IBjUW', 496.39, 'cat2');
insert into compositetest values (23, 'jCDtO', 122.42, 'cat3');
insert into compositetest values (24, 'bKLxm', 136.28, 'cat4');
insert into compositetest values (25, 'CRXzE', 135.8, 'cat5');
insert into compositetest values (26, 'GnjIv', 320.75, 'cat6');
insert into compositetest values (27, 'Pwfmd', 818.06, 'cat7');
insert into compositetest values (28, 'njNBU', 281.79, 'cat8');
insert into compositetest values (29, 'plnqs', 259.13, 'cat9');
insert into compositetest values (30, 'DXyHB', 622.85, 'cat0');
insert into compositetest values (31, 'Kunqa', 288.34, 'cat1');
insert into compositetest values (32, 'tRXhV', 480.91, 'cat2');
insert into compositetest values (33, 'fePjU', 780.24, 'cat3');
insert into compositetest values (34, 'KgLdb', 322.8, 'cat4');
insert into compositetest values (35, 'MkERA', 819.71, 'cat5');
insert into compositetest values (36, 'ljYOz', 59.92, 'cat6');
insert into compositetest values (37, 'RIewu', 645.62, 'cat7');
insert into compositetest values (38, 'xUGEa', 612.46, 'cat8');
insert into compositetest values (39, 'asZOw', 386.63, 'cat9');
insert into compositetest values (40, 'AHEol', 519.77, 'cat0');
insert into compositetest values (41, 'nKvJo', 960.77, 'cat1');
insert into compositetest values (42, 'IrCLj', 232.07, 'cat2');
insert into compositetest values (43, 'nxptU', 172.46, 'cat3');
insert into compositetest values (44, 'qCVNK', 415.73, 'cat4');
insert into compositetest values (45, 'MAPPA', 733.39, 'cat5');
insert into compositetest values (46, 'SxCVd', 196.08, 'cat6');
insert into compositetest values (47, 'NYXPN', 205.82, 'cat7');
insert into compositetest values (48, 'OqFzI', 749.19, 'cat8');
insert into compositetest values (49, 'bnunu', 345.31, 'cat9');
insert into compositetest values (50, 'OroqB', 987.36, 'cat0');
insert into compositetest values (51, 'JGajl', 149.36, 'cat1');
insert into compositetest values (52, 'psykX', 371.82, 'cat2');
insert into compositetest values (53, 'oMCEs', 209.63, 'cat3');
insert into compositetest values (54, 'vivyg', 882.9, 'cat4');
insert into compositetest values (55, 'xVbMa', 392.09, 'cat5');
insert into compositetest values (56, 'HXLNV', 599.53, 'cat6');
insert into compositetest values (57, 'eUvbB', 752.91, 'cat7');
insert into compositetest values (58, 'XgVLv', 249.38, 'cat8');
insert into compositetest values (59, 'hKKZL', 423.61, 'cat9');
insert into compositetest values (60, 'RmOZP', 589.76, 'cat0');
insert into compositetest values (61, 'bZGwG', 604.51, 'cat1');
insert into compositetest values (62, 'ORWwz', 670.37, 'cat2');
insert into compositetest values (63, 'jxpbW', 963.45, 'cat3');
insert into compositetest values (64, 'xApqd', 34.59, 'cat4');
insert into compositetest values (65, 'yrXqB', 971.43, 'cat5');
insert into compositetest values (66, 'aonbN', 526.21, 'cat6');
insert into compositetest values (67, 'rOJvj', 769.87, 'cat7');
insert into compositetest values (68, 'gaJhC', 857.92, 'cat8');
insert into compositetest values (69, 'GvyLW', 559.0, 'cat9');
insert into compositetest values (70, 'SNJtD', 111.8, 'cat0');
insert into compositetest values (71, 'VHlrG', 8.39, 'cat1');
insert into compositetest values (72, 'lUIPH', 978.41, 'cat2');
insert into compositetest values (73, 'VEvSU', 733.89, 'cat3');
insert into compositetest values (74, 'RXOiJ', 64.78, 'cat4');
insert into compositetest values (75, 'PxWby', 763.53, 'cat5');
insert into compositetest values (76, 'dqlAu', 731.16, 'cat6');
insert into compositetest values (77, 'BCsCC', 950.51, 'cat7');
insert into compositetest values (78, 'hMpRi', 307.89, 'cat8');
insert into compositetest values (79, 'jMyRJ', 402.36, 'cat9');
insert into compositetest values (80, 'owVnd', 312.07, 'cat0');
insert into compositetest values (81, 'jxsdw', 179.41, 'cat1');
insert into compositetest values (82, 'KeDfH', 89.94, 'cat2');
insert into compositetest values (83, 'kOwUJ', 73.06, 'cat3');
insert into compositetest values (84, 'wzdyg', 825.97, 'cat4');
insert into compositetest values (85, 'YLuOA', 707.14, 'cat5');
insert into compositetest values (86, 'kaHav', 699.84, 'cat6');
insert into compositetest values (87, 'eXeEN', 657.48, 'cat7');
insert into compositetest values (88, 'xfVUO', 910.62, 'cat8');
insert into compositetest values (89, 'XVfBu', 955.02, 'cat9');
insert into compositetest values (90, 'UtDce', 150.27, 'cat0');
insert into compositetest values (91, 'pEXfD', 405.48, 'cat1');
insert into compositetest values (92, 'DIjRB', 57.63, 'cat2');
insert into compositetest values (93, 'dVUgr', 222.17, 'cat3');
insert into compositetest values (94, 'TIGdk', 621.97, 'cat4');
insert into compositetest values (95, 'UZgCU', 120.19, 'cat5');
insert into compositetest values (96, 'mJUus', 631.65, 'cat6');
insert into compositetest values (97, 'tVdDa', 184.03, 'cat7');
insert into compositetest values (98, 'ffZAK', 81.41, 'cat8');
insert into compositetest values (99, 'pQZeg', 197.39, 'cat9');
insert into compositetest values (100, 'nMXYt', 1.21, 'cat0');
insert into compositetest values (101, 'EOShS', 973.89, 'cat1');
insert into compositetest values (102, 'NVUFy', 843.6, 'cat2');
insert into compositetest values (103, 'ACQmw', 242.88, 'cat3');
insert into compositetest values (104, 'KmJZl', 75.91, 'cat4');
insert into compositetest values (105, 'ESapm', 20.52, 'cat5');
insert into compositetest values (106, 'LtkLf', 910.03, 'cat6');
insert into compositetest values (107, 'uwDQK', 406.57, 'cat7');
insert into compositetest values (108, 'frBNF', 415.88, 'cat8');
insert into compositetest values (109, 'eEvZW', 858.65, 'cat9');
insert into compositetest values (110, 'nMADs', 923.87, 'cat0');
insert into compositetest values (111, 'XUFCE', 70.9, 'cat1');
insert into compositetest values (112, 'zCJxa', 681.91, 'cat2');
